comment	label
our company is customer centric and maintaining quality of the service in the market which we firm believe there is good name and fame among business arena in our country .	company
this is good for our business in the future.	company
this is good for our future business.	company
[company] and new [company] mobile tracking app	company
team work and openness to change	company
edm  and  [company]  is  working well and has helped us big way.	company
we are in right direction	company
[company] is adopting the changes as per current market practice.. and more compliance organization..	company
top management seems realized what went wrong in the past a few years of [company] failure.	company
when there were issues we communicate and solved the problem.	company
we have a good cs and for feed back we do customer satiation survey every year	company
[company] is operating in a highly competitive environment in my & is able to stay on top.	company
in my work team my leader always has new strategies and listens to needs to execute goals together and create new strategies that allow to improve processes with clients.	company
the systems that is in place works very well in providing the information that the customer requires	company
handling of piece of paper only but once as this will act against any possible delays in processing of work.	company
we need a clear and solid path forward.	company
there is too much uncertainty within the company globally, nationally and locally.	company
co trying hard to move in the right direction.still morale issues at the agent level.no sense of urgency in many.the ones that do have sense of responsibility,accountability and urgency are super busy because many go to them for results, corrections,	company
we have  made strides in the improvements of our service and the courtesy shown to our customers through cs.	company
sales are being focused more toward selling activities.	company
as a company we are moving in the right direction when focusing on continuous improvement, profitability, and taking care of our customers.	company
company is making improvements in it and systems to be competitive globally.	company
focusing on local level customer service for air export and domestic	company
there is a general sense of apathy without any improvement in sight.	company
problems are handled effectively and local issues can be addressed timely.	company
we are happy to work in [company]	company
i enjoy working for [company], the team is young and dynamic, open to out of the box ideas just to make the customer happy.	company
locally we problem solve together to come up with solutions to get opportunities across the line even when this means doing things outside the square.we are focused on the day to day topics that actually make the difference to our customers.	company
we have a team of very professional people, with a lot of experience, very engaged to give the client the best service.	company
we are leader company of warehousing and need more focus on it to gain business.	company
the new process and structure is working very well	company
offer new product solution	company
together all department corporate with each other to move shipment as timeline.	company
secondly working well is increasing profit margin.	company
in [company] we are defintiely making earnest efforts to be customer centric and the senior leadership team in india is doing a great job in leading people in that direction	company
currently i can see the improvement in all aspects in terms of customer centric (internal & external) which is really very good.	company
customer and their feedback is taking very seriously which keeps us focussed	company
strong portfolio of products and structured rfq process.	company
hypercare - on-boarding of new customers / new business lanes - closely monitoring their shipments.	company
npa - reaching out to customers for their candid comments allowing us to call them back and address	company
the continuous improvement of processes to make them more optimized.	company
the company is always in constant change to manage to adapt to the market and the clients' needs, in this way, the service has improved, managing to attract new businesses, which are important for the company's future.	company
china isc origins function very well and relatively error free for fcl shipments.	company
[company] also has a good handle on implementation and procedures	company
direct consols if possible.	company
too many disparate systems used to service our business across the network, which only adds to confusion and to performance that would be much better and global in nature if we used a common operating system across all modes of transport & logistics.	company
customs brokerage pricing, implementation and customer service have vastly improved since the cae miscue.	company
in my limited time with [company] i have seen a huge improvement in how we want to represent our company.	company
data quality in terms of ensuring the correct information is uploaded/ relayed to stations.	company
roll out and handover documents are working well	company
i am excited about cargo wise.	company
we have a way to go, but recent changes have moved us in the right direction.	company
in recent months, we have begun re-thinking some of the old norms (e.g., blindly routing all air freight cargo through the gateway), and are seeing improvements in the bottom line and customer experience as a result.	company
on-boarding new customers  handling air exports more profitably from local origin  sales / ops working together	company
the new direction the company is going in with quality.	company
with the introduction of pd boards in all sectors, i have experienced the improvement in all aspects that contributes to give best experience to our customers by continuous improvement of our processes.	company
company is moving in a right direction	company
finance has been sharing this financial report on a weekly basis, customer service  uses this report to update their client.	company
file handover has reduced from 1hour to an average 30 minutes this is because pre-alert are received early enough.	company
open door policy to resolve any form of queries.	company
provision of quality service and customers' voices are heard.	company
with the opening of our own facility; shipment clearance led time has improved	company
the trusted brand name and quality services provision is good for business.	company
customers has confidence in our work plus deliveries due to our experienced professional personal operation team that believes in team work.	company
issue of compliance seems to be improving and also there is more room for improvement.	company
generally customers are not happy with our performance so we are loosing out a lot biz to competitors which has led to the massive reduction of our volumes we are currently handling.	company
the discussions with colleagues are opened and customer oriented, giving room to improvement.	company
however, as in any situation, this point can be improved.	company
team-work to find solution and gain any new business.	company
customer feedback and improvements.	company
that every file / every enquiry / every customer is treated with utmost importance.	company
our strategy and the best plan is leading to work well.	company
also the quality of work.	company
strong brand in the market, ie great opportunies to get new customers	company
we are more focused on customer satisfaction  team work spirit became more and more  improving current processes to make less mistakes during operational flow	company
our customers requested simple operation and organisation from us.we will be faster than now with simple organisation	company
the current set up of desks by sector improves the billing/day to day activities & control.	company
focus on meeting of customer expectations (sometimes without understanding of cost behind)	company
information flow is open, consistent and continual.	company
its good to be apart of a team where the customers need are in such high focus.	company
our strategic framework combined with 2020 action plan will surely keep us at the top of our game.	company
npa calls to customer and taking feedback from customer and working towards improvement of services.	company
smt involvement on each and every customer	company
process setting should be taken up by bpo, current process of kams/cs make the process takes away a lot of time and the process is set as per an individual/may not be right from a process standpoint.	company
we are one of the leading complacence and corruption free company inspires me to work as a team .	company
the npa drive is working well this really show cases our commitment to deliver great service .	company
keeping in view the market competition, we should have to develop competitive edge in market, for selling more secured and profitable way of business.	company
the work load is getting much higher	company
continuous improvement through service wow is unique.	company
the thrust on npa 2nd call and subsequent actions are very commendable.	company
with the fast change business background.	company
focus on doing sensible things.	company
the continuous improvement in internal processes.	company
while we need to use many systems, we are constantly looking for the way to be more efficient and improve the processes we need to use day-to-day to do our work.	company
the business is great.	company
implementation, npa, oi's and other things that ensure we care about our customers and push in many ways to retain business.	company
getting back to the basics of freight forwarding.	company
beside hard economic times, i can see the company is always looking into a better performance with our customers.	company
one of the main complaints is not being answered via phones or e-mails.	company
positive changes inside the company things are going in the right direction	company
all the processes that [company] has regarding quality in the operation i think are great.	company
every one is well aware about what is expected from them & what improvement is needed	company
we still have major customers that are well looked after and managed	company
if there is an issue with the customer we deal with we have a meeting and all actively come up with a solution, no idea is ever ignored.	company
reinforced communications to all  listening by the management to the employees  acceptance of the fact that we need to listen to the customer feedback	company
structure in place to make this happen.	company
employee engagement topics pushing business in right direction and under new uk leadership i feel very positive about the future at [company] uk!	company
more interaction between finance and other parts of the business.	company
employee engagement , i think the following points so important,  1-supply the right tools  2-give individual attention  3-encourage employees to speak up  4-reward employees for a job well done  5-clarify the main goals	company
the current management vision and strategy	company
more positive with great improvement	company
culture and lead by example	company
employee engagement is extremely high and helps us to overcome the many challenges we face.	company
the big strategie the global way	company
its open forum	company
helping one another is not an issue.	company
this helps get the work load done much faster and quicker.	company
not a lot ...we need to stop pointlass moving about of departments for no apparent reason and without consultation as to its reasoning and how it will benefit the company	company
good employee connect and openness towards new ideas.	company
some important activities really helped the work force and kept them motivated, one of them of budget approved per head for outing/lunch/dinner...	company
employee engagement has been applied and not only initialized by the center but also within the smallest unit in the organization - per team level.	company
the company give effort to help the employee to participate in all activities and give them a chance to grow in the company through some trainings, etc.	company
since the country´s economic crisis the company adopted a system of constant meetings with all the employees on a monthly basis to which i think is very valuable in order to avoid constraints and keep the company´s proactivity always intact	company
the company is quite flexible and people oriented, it is a great place to work thanks to the partnership created in my team, people is quite friendly in general.	company
company information towards employees.	company
what works well is the knowledge within the current group.	company
communication, management ensure we are always informed on all development and what is needed to ensure success.	company
teamwork and loyalty up to a certain level of employees had made possible to continue working in spite of the scarce resources.	company
[company] is a strong company.	company
in this company i am very proud to stay and i love to be working here.	company
better results would help to go faster.	company
working with [company] is a real opportunity, i really like my team and my direct management.	company
there are always opportunities to share ideas or better ways of doing things and our voices are heard.	company
the company offers you many great development opportunities as well as opportunities to actively contribute to the company's success.	company
we operate with mutual respect and openly share ideas and thoughts.	company
a common desire for success and growth is present across all the organization, which motivates people to do their best.	company
i learnt this from one of the successful man [name] the owners of alibaba.	company
our company is taking care of the best talent people who is capable of promotion through internal vaccancies.company is motivating people through thier internal promotions.	company
ithink company doing busines very well, it is fame spreding internationally.	company
q43- bird drops is creating hygeine issue at warehouse.	company
haymanagment has been introduced but department heads are not aware & not briefed.	company
good initiatives for health, diversity and decode sessions	company
we need a structure to be in place.	company
approach to change, team management, opportunity to grow	company
whatever we have comment our company take action and give us feedback	company
we are very happy with that decission of our company.	company
i am  always  happy in this company.salaray coming timing.company rules and regulation is good.totaly danzas is good.i like this company.	company
i am happy to work my company.	company
i want to grow to more my company	company
company is perfect, but due to some superior attitude issue its having dented,pls try to talk individually to have thier grievanses not with group, so that you will know wat is happenning in that warehouse group, ask them with same question sum resul	company
every concern and every idea counts that makes the employees valuable to the company.	company
we must work as a team & which ever work is given we have complete that work in respectively time which supervisor or fic gives.	company
sometimes, always change day only.	company
employees hard work support to the customer requirement	company
every thing is going well and i am satisfied with activities in the country and whole [company].	company
company is :  • facilitating employees with different schemes.	company
• encourage employees with different activities.	company
extra curicular acitivity is something i like most about our company and also all the steps are taken or attempted for the betterment of an employee.	company
the engagement of other employee in a professional and personable manner	company
they understand the situation better than management.	company
the employee engagement is the best i see because we are not only here to go to office just to work also to have fun with and hang along to my colleauges.	company
as i have observed with my teamates that they give support to one another to better provide good quality of service to our customer, me as well contribute my knowledge to the team to help strenghten the team with the task given to us.	company
there is still need for employee engagement programs and initiatives to make work enjoyable rather than stress.	company
[company] is a great company, it's positioned on the market and has good professional development opportunities.	company
not as lot, do not feel valued by the company anymore.	company
when an employ is pushed to learn to become more an asset not just a worker bee.	company
my direct supervisor reflects our guiding principles of respect and results.	company
it's important for us to have such a role model and be motivated to go for the extra mile.	company
the approach for achieving the strategy.	company
our organization allows employees to learn and grow within the organization.	company
salaries are paid on time  actions based on eos is being implemented	company
people are happier to come to work than before and realize they are part of something bigger than their daily tasks.	company
we are fully engaged and involved in shaping  our own destiny in azerbaijan and truly working together in making the project a success.the [company] global support structure and expertise that azerbaijan can call upon certainly helps.	company
dupont group email with the categories is working well, import no one moved emails with out the response party knowing or a pick up can be missed.	company
warehouse using the sheets provided to then for hawbs and destination.	company
daily/weekly team huddles help us to gather information across departments to produce the best results for our internal and external customers	company
action resulting from the eos is published	company
we had employee engagement like celebrate kartini's day and independence day, this events make the employees feel that the company understand for creating fun thing to their employee.	company
now with new management our concerns as warehouse personnel are now being taken in to consideration.	company
many of the tools we needed were acquired.	company
and any of our ideas are taken into consideration as well.	company
before the union it was the customer' s priority and now everyone is just for ot.	company
feel sorry for the company!	company
danzas always takes positive actions on concerns raised in every eos.	company
my company utilizes manpower where ever it is required according to the correct allocation.	company
[company] employees are very enthousiastic and willing to help the customers however limited by systems, fte productivity not always the correct decisions are made.	company
everyone is doing their very best to deliver quality even though these rough times.	company
more information being given	company
has set up the good platform to let the colleagues to feedback what they needs	company
wellness means both physical health and mental stamina. employees at a high level of wellness are more creative, positive, and productive.	company
i am proud of working in [company]	company
the employee forum have been working hard to address the lower scoring areas from the 2016 eos	company
receiving continues developmental feedback demoralising, wish to have more motivational comments and supportive words.	company
need more life and work balance environment	company
good learning and personal development opportunities.	company
superb focus on employees and their needs!	company
adapting to change in business environment and customer needs.	company
i'd love how management working how to help the associates not to be burn or stress in work.	company
the employees are all happy and enjoy everyone every time there's a employee engagement, it will boost the moral and balance the work and life.	company
meetings conducted to update staffs on the current market status.	company
please continue to keep employees happy always.	company
need to implement something like what we had before with the first choice (incentives) to appreciate & motivate the employee	company
higher management appears to be better connected with employees now.	company
we need to focus on customer needs, not just [company] process.	company
we tend to restrict ourselves because of the process in place for example cae's escalation and file logging but, not consistent.	company
delays after delays from file logging and customs clearances.	company
based on the last eos, we have seen many positive changes within the department in terms of employee engagement and also the team bonding has ben improved.	company
there has been good initiatives from previous eos's.	company
-health awareness to the employee  -weekly fruits provided weekly	company
dear team  it pleasure to have eos on every year.	company
i am always proud to have an eos,its really useful for each and every employee for the company.	company
whatever the we requested in the eos its happened this every year.	company
our eos results on the area with low numbers were not worked on but skipped over and other items not of great importance were discussed for improvement	company
complete daily work accurately and timely.	company
[company] has eos follow up and focus group for previous eos result.	company
staffs are free to discuss, decide where to go, what to do.	company
i like system improvement like edm to help work getting easier	company
open communication between management & employee much better now.	company
they had given their very best by supporting and encouraging me to develop and success together with this company.	company
recognize and appreciate the effort done by the team member  share ideas and best practices	company
monthly treats is what i always look forward to every month	company
there are many staff activities every quarter, every year.	company
here the staff was respected & inspired to show his/her advantage and make job well done.	company
all process and management already doing as well	company
leadership, compliance, good team work, cooperative working partner and working environment, good support from company for issue related to external parties	company
follow up to last eos	company
everyone in my team knows how to manage and deal with any new customer shipment	company
but with times team mates get very demotivated a specially with new changes like the ccm and oi's they do not have the time to submit them	company
to work for [company] global forwarding is the best thing ever.	company
the company is good to all staff.	company
we give 110% daily.	company
[company] changes constantly in software and hardware.	company
"i guess we are pushed to be ""independent"" by receiving no direction."	company
i like that senior management is starting to communicate more openly since they let the employees start action teams again at the employee level.	company
there are plenty of opportunities offered for employees to get involved.	company
i think that the results of the last eos were addressed with proper attention and changes have already happened because of them.	company
when problems arise the employees/senior leadership generally handle them effectively and in a timely manner.	company
the comadarie  from other offices helps make my job a lot easier sometimes.	company
there has been an increase in employee engagement activities to drive a better place to work and to make sure people feel happier in the workplace	company
internal promotions helps retain experienced employees and maintain the top position in market.	company
improvement in eos response and actions taken has helped to drive employee motivation and the success of the company	company
very good initiatives and action taken bases on last year eos	company
in my department few changes are made that supports cs to perform the job effectively along with new initiatives taken to conduct team building activity which helps each and every team member to bond well within the department.	company
management has not only heard the opinions of employees but have seriously worked on almost suggestions.	company
the company has improved so much over the years concentrating on how they can improve the work culture within the organization and taking good initiative for employee empowerment.	company
timing flexibility, free insurance for family, work from home, 60 days maternity leave, more approachable hr and leadership team	company
despite the hierarchy and bureaucracy, an open door policy make its easy to get jobs done.	company
there is opportunities around the company to grow.	company
i believe this is big positive impact.	company
opportunities provided to develop our selves as an employee of the company.	company
great exposure and learning opportunity due the nature of shipments handled  3.	company
the focus on internal vacancies which allows a personnel with the right skills to grow within the organization.	company
we always give our best to our customers,and we get positive comments from them.	company
the network keeps getting better and we have more and better information.	company
also systems and support is doing well.	company
keep the team always updated on company strategies and market developments to better understand how to step ahead in our daily job	company
should keep those things going	company
eos(first choice), i have seen positive changes from the last eos.	company
emphasis on the results of previous years eos and the actions taken.	company
we have recently completed a workshop with other managers to improve employee engagement which will have a direct flow on effect to rebuilding our company, retaining and attracting skilled employees and offering our customers the best service.	company
by engaging and collaborating with other departments either regarding impat , issues , streamlining process .	company
listening to employees opinions gives us the feeling that our opinion is valued.	company
the feedback has been listened and the actions have been taken	company
employee events really does matter, they keep an employee motivated and to enjoy their work as well.	company
company has a focus on business as well as their employees and engaging them with different ways whether it is town hall, employee events or training like cif etc	company
use of first choice during current has been phenomenal.	company
employee engagement through different activates been positive aspect current year.	company
changes to the working environment has been done base on the eos result last year.	company
direction of the company is well informed.	company
we are continually improving the quality of our products and services	company
all the employees are engaged to work toward to achieve their goals & they get fullest support from the management.	company
cif - where it did bring awareness of the core values and best plans to all employee, and that we appreciate the company spent so many resource to put this all together.	company
team building activities, leadership development and business development and profit maximization are going well.	company
democrasy is already running well in my company, all employees can speak out or vote for their opinion to management.	company
if he/she want to resign, we have to at least offer his/her a better opportunity	company
employees voice not only listened, but action taken to improve.	company
system and compliance	company
we have more tea-break now ,during this time ,we could share more happyness with eash other	company
more process orientation do make us more professional.	company
more contact with each product is a learning experience to each person.	company
first choice & eos follow up actions every year	company
in my team, mates are encouraged to voice out and raise up individual thoughts / ideas / concerns aiming to daily routine.	company
keep on [company] activity club, it bring a strong sense of importance of work-life balance.	company
positve improvement after last year eos	company
the company has the contiously engagement with the staff from time to time in the different way.	company
open discussion with colleagues and senior managers.	company
(if not always used effectively.	company
bring back the first choice awards.	company
the gift certificates were small but made a positive impact on our team's attitude.	company
although we are not doing well in meeting budget however the whole cross-functional teams are trying to recover this situation.	company
same as all employee we're respect and help each other to archive one goal/be the 1st leading logistics.	company
we also enjoy working at [company] id as one team.	company
company encourage positive activities that involve all employee in every level.	company
can see there are lots of improvements done within the company.	company
i feel great when i am being heard and see my ideas being implemented by upper management.	company
there is no staff for replacements during holidays and we are being saturated with work, receiving new processes, many really want to work and give more but because there is not incentive, we understand cost reduction but i think it needs to be reviewed.	company
we are making progress in the right direction.	company
we still have some things to improve.	company
she can help wit navigating problems.	company
i feel appreciated, respected-it gives me the opportunity develop and achieve better and better results.	company
eos is a good platform for hearing employees concerns.	company
the timely communication of information also helps to achieve the desired results.	company
we are implemention new system and majority of staff had part of traing after office hours.	company
lot of new things/ideas have been brought on board which is very boosting for the team or as an individual.	company
cif, first choice, customer excellence.	company
roll out of the cif programme was a great initiative  and very timely for nz to re engage everyone especially after the nfe.	company
giving employees lots of opportunity to voice their opinions, give feedback etc	company
i think the pd graph boards are working well as it lets everyone contribute and play a part and is an open speaking board to improve and find ways to make our jobs more effiecient	company
the actions taken for team engagement are excellent	company
the company takes employee feedback seriously.	company
thanks for all the initiatives and positivity and reaching out to the ground despite many challenges and new projects this yr.	company
freedom to express our view and comments for work related discussions	company
staff engagement is very good, after initiatives taken by last year.	company
capability in people is there need to make the maximum use of them	company
the business is finally listening and acting upon feedback from the employees.	company
what is working and what needs improvement.	company
in general speaking, some of my other industry colleagues struggling to voice in their own company.	company
it's normal we all different opinions, all suggestion will visit by merit.	company
i always like to see [company]  in top five position in world	company
i enjoy all the feedback given to me from my direct team leader.	company
my team work very well together to maintain the best possible outcome in all areas with the tools we have at our disposal	company
rack system is extremly well	company
monthly feedback and updates from the slt is a good thing .	company
despite of difficult times where tough decisions are being made staff remains highly motivated and compromised	company
the systems that we use is very good, e.g logis air, mgms  import 2000	company
we try as a team to resolved them in a timely matter.	company
employees come together and respond to all challenges that are given to us on a daily basis from receiving freight, processing, pulling freight and getting freight to the airlines on time .	company
the team engagement is tangible and creates an environment of professionalism and development.	company
i feel that there is quite a bit of employee engagement and the flow of information from senior leadership has improved.	company
"my team has done a great job at recognizing employees through ""employee of the month,"" as well as creating different committees to promote team building."	company
the cif training is great to ensure all areas of the business are included and also exposure to areas that not all company members are aware of	company
it seems changes are coming to the building based on what we asked.	company
information is being received in a timely manner.	company
we are asked to give our opinion on how the proceess should work but i fell that when we give our opinion noone is listening or taking our sugestions into consideration.	company
what is the point if noone is listening.	company
the new process from 1-z	company
the auto team is a well run team that is supportive and encouraged to be aggressive and geared to be the top performers in the industry.	company
i like the re joiners facility provided home coming for the people who left the organization for growth or some family issues they can turn back and join the best company [company].	company
working environment on in the team and across the floor is excellent, additional activities other than routine work which takes place on floor keeps my mind fresh and stress free while working.	company
the policies and procedures have been worked out well and to benefit employees.	company
new initiatives are taken on timely manner.	company
i have seen lots of changes happening when it comes to employee engagement and company is taking initiative to adapt our ideas and work on it.	company
process are running smooth, employees efforts being recognized on flr.	company
we had [company] t-shirts it was a nice souvenir from the company.	company
activity on floor every week which create good working environment for employees.	company
the best way of sharing employees feedback through employee opinion survey	company
[company] going the extra mile for the employees.	company
this create positive attitudes in the work place and employess strive to do even better than what they already do.	company
new ideas for team engagement is good for the team.	company
the implementation of pd board for operations also improve the dialog between colleagues and the focus on client centricity.	company
openness from the smt towards employee opinion regardless of their position.	company
recognize the good employees and promote them if needed be.	company
working well is where by your employer acknowledges your job, performance and appreciates you, this motivates you  to grow strong and love your job, necessary tools and equipment will easy your workload by good communication meeting your kpis.	company
this makes the employees feel that their contribution is valid.smt have also delivered on some of their promises.	company
there is continuous eos follow up in my station and i have seen some positive changes as a result of eos.	company
working well is have that team building and understanding everyone opinion and passion to every department located or assigned by the company.	company
so far i can commend on satisfaction in side the company in what we do day to day.	company
to make decisions that will to company sustainability	company
the promotion and training of cif worked too well, it's a space to know more about the company in several integration aspects, besides, it was also focused on several areas that don't have access or customer service.	company
i think that the engagement and dedication, with which i do my work, have led me to fully fulfil the objectives and goals of the position, developing well the tasks given for the performed role.	company
the employees are constantly briefed on any new development in the company and are also carried along when decisions are taken	company
when i joined the company still no delay getting payments it is very great really satisfied comparing with other corporate companies.	company
company implemented some new ideas that above and beyond  its an motivation for team to improve their quality also we need to include every month best performer for the account,then  every body will be try to maximice produtivity and minimice errors	company
taking actions and improving regarding last eos.	company
we are openminded to new ideas and everyones thoughts is taken seriously.	company
full fill customer's all requirement within the resources	company
the high quality and professionalism  of the workers	company
office improvements have made the environment nicer to work in, communication in relation to news/pipeline/changes etc has improved	company
global presence & brand recognition / additional hiring at ofr to cope with high staff turn-over / continuous efforts & drive of several colleagues to provide acceptable service despite daily challenges	company
my team leader give me timely feedback for future growth.	company
employee are encourage to take part in internal discussion of department	company
i personally hope it can continue in the not too distant future.	company
continuous, often (annual) and consistent survey conducting.	company
my company very good!	company
the leadership and direction is clear and motivating	company
we will do eos follow up every year.	company
such a great company to work for!	company
great improvement in moral since the last eos!	company
letting us move freight, instead of overloading employees with initiatives.	company
open minded mindsets are key to our success.	company
most people feel free to express opinions even when they may be controversial to others.	company
i believe that fist choice initiatives work well in our company	company
